"ID";"nStimuli";"reactionTime";"itemNumber";"block";"typeOfAlternatives";"deg";"type";"modelNumber";"weight";"STEM";"Experience";"sex";"outlier";"sexNumeric";"typeNumeric";"nStimuliNumeric1";"nStimuliNumeric2"
"id89";2;5883;23;"main2";"mixed";90;"hit";"m3";1;"nonSTEM";"Ja";"w";FALSE;-1;1;1;0
"id89";2;8034;24;"main2";"mixed";90;"hit";"m5";1;"nonSTEM";"Ja";"w";FALSE;-1;1;1;0
"id89";4;33261;1;"main3";"mixed";135;"incorrect";"m15";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;33261;1;"main3";"mixed";180;"hit";"m15";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;13782;2;"main3";"mixed";180;"hit";"m6";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;13782;2;"main3";"mixed";90;"incorrect";"m6";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;13555;3;"main3";"mixed";135;"hit";"m14";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;13555;3;"main3";"mixed";90;"incorrect";"m14";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;7967;4;"main3";"mixed";45;"incorrect";"m4";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;7967;4;"main3";"mixed";135;"hit";"m4";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;18196;5;"main3";"mixed";135;"hit";"m5";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;18196;5;"main3";"mixed";135;"incorrect";"m5";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;8598;6;"main3";"mixed";45;"hit";"m2";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;8598;6;"main3";"mixed";90;"incorrect";"m2";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;9033;7;"main3";"mixed";180;"hit";"m3";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;9033;7;"main3";"mixed";45;"incorrect";"m3";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;8300;8;"main3";"mixed";45;"hit";"m8";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;8300;8;"main3";"mixed";180;"hit";"m8";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;14471;9;"main3";"mixed";90;"hit";"m16";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;14471;9;"main3";"mixed";90;"incorrect";"m16";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;11516;10;"main3";"mixed";90;"hit";"m13";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;11516;10;"main3";"mixed";180;"hit";"m13";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;8868;11;"main3";"mixed";90;"incorrect";"m12";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;8868;11;"main3";"mixed";45;"hit";"m12";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;6727;12;"main3";"mixed";135;"hit";"m7";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";4;6727;12;"main3";"mixed";135;"incorrect";"m7";1;"nonSTEM";"Ja";"w";FALSE;-1;1;0;1
"id89";8;33204;1;"main4";"paired";135;"incorrect";"m15";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;33204;1;"main4";"paired";45;"hit";"m15";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;33204;1;"main4";"paired";45;"hit";"m15";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;33204;1;"main4";"paired";135;"incorrect";"m15";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;16623;2;"main4";"paired";45;"hit";"m5";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;16623;2;"main4";"paired";135;"incorrect";"m5";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;16623;2;"main4";"paired";135;"hit";"m5";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;16623;2;"main4";"paired";45;"incorrect";"m5";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;20910;3;"main4";"paired";135;"hit";"m12";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;20910;3;"main4";"paired";135;"incorrect";"m12";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;20910;3;"main4";"paired";45;"hit";"m12";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;20910;3;"main4";"paired";45;"hit";"m12";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;36019;4;"main4";"paired";135;"hit";"m3";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;36019;4;"main4";"paired";45;"hit";"m3";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;36019;4;"main4";"paired";45;"hit";"m3";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;36019;4;"main4";"paired";135;"hit";"m3";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;17613;5;"main4";"paired";135;"hit";"m14";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;17613;5;"main4";"paired";45;"hit";"m14";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;17613;5;"main4";"paired";45;"hit";"m14";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;17613;5;"main4";"paired";135;"hit";"m14";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;24791;6;"main4";"paired";135;"hit";"m4";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;24791;6;"main4";"paired";45;"hit";"m4";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;24791;6;"main4";"paired";135;"hit";"m4";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";8;24791;6;"main4";"paired";45;"hit";"m4";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;-1;-1
"id89";4;19735;1;"main5";"paired";135;"hit";"m15";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;19735;1;"main5";"paired";45;"hit";"m15";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;10153;2;"main5";"paired";135;"hit";"m5";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id89";4;10153;2;"main5";"paired";45;"hit";"m5";1;"nonSTEM";"Ja";"w";FALSE;-1;-1;0;1
"id31";2;15234;3;"main1";"paired";135;"hit";"m2";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";2;5383;4;"main1";"paired";45;"hit";"m14";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";2;4484;5;"main1";"paired";135;"hit";"m4";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";2;3433;2;"main1";"paired";45;"hit";"m12";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";8;18835;5;"main2";"paired";135;"hit";"m4";1;"nonSTEM";"Ja";"m";FALSE;1;-1;-1;-1
"id31";8;18835;5;"main2";"paired";135;"hit";"m4";1;"nonSTEM";"Ja";"m";FALSE;1;-1;-1;-1
"id31";8;18835;5;"main2";"paired";45;"hit";"m4";1;"nonSTEM";"Ja";"m";FALSE;1;-1;-1;-1
"id31";8;13633;6;"main2";"paired";45;"hit";"m14";1;"nonSTEM";"Ja";"m";FALSE;1;-1;-1;-1
"id31";2;6984;6;"main1";"paired";45;"hit";"m3";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";2;8733;7;"main1";"paired";45;"hit";"m15";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";2;7383;8;"main1";"paired";135;"hit";"m13";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";2;21984;9;"main1";"paired";135;"incorrect";"m16";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";2;4083;10;"main1";"paired";45;"hit";"m7";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";2;12917;11;"main1";"paired";135;"hit";"m5";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";2;5318;12;"main1";"paired";45;"hit";"m8";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";2;3232;13;"main1";"paired";135;"hit";"m14";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";2;3067;14;"main1";"paired";45;"hit";"m13";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";2;5283;15;"main1";"paired";135;"hit";"m12";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";2;4784;16;"main1";"paired";135;"hit";"m15";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";2;4050;17;"main1";"paired";45;"hit";"m8";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";2;4083;18;"main1";"paired";135;"hit";"m5";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";2;12817;19;"main1";"paired";135;"hit";"m2";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";2;5850;20;"main1";"paired";45;"incorrect";"m4";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";2;3101;21;"main1";"paired";135;"hit";"m3";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";2;6349;22;"main1";"paired";135;"hit";"m7";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";2;6049;23;"main1";"paired";45;"hit";"m16";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";2;5518;24;"main1";"paired";135;"incorrect";"m6";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";8;37720;1;"main2";"paired";45;"hit";"m3";1;"nonSTEM";"Ja";"m";FALSE;1;-1;-1;-1
"id31";8;37720;1;"main2";"paired";45;"hit";"m3";1;"nonSTEM";"Ja";"m";FALSE;1;-1;-1;-1
"id31";8;37720;1;"main2";"paired";135;"hit";"m3";1;"nonSTEM";"Ja";"m";FALSE;1;-1;-1;-1
"id31";8;37720;1;"main2";"paired";135;"hit";"m3";1;"nonSTEM";"Ja";"m";FALSE;1;-1;-1;-1
"id31";8;17536;2;"main2";"paired";135;"incorrect";"m12";1;"nonSTEM";"Ja";"m";FALSE;1;-1;-1;-1
"id31";8;17536;2;"main2";"paired";45;"incorrect";"m12";1;"nonSTEM";"Ja";"m";FALSE;1;-1;-1;-1
"id31";8;17536;2;"main2";"paired";45;"hit";"m12";1;"nonSTEM";"Ja";"m";FALSE;1;-1;-1;-1
"id31";8;17536;2;"main2";"paired";135;"incorrect";"m12";1;"nonSTEM";"Ja";"m";FALSE;1;-1;-1;-1
"id31";8;22217;3;"main2";"paired";135;"hit";"m8";1;"nonSTEM";"Ja";"m";FALSE;1;-1;-1;-1
"id31";8;22217;3;"main2";"paired";135;"hit";"m8";1;"nonSTEM";"Ja";"m";FALSE;1;-1;-1;-1
"id31";8;22217;3;"main2";"paired";45;"hit";"m8";1;"nonSTEM";"Ja";"m";FALSE;1;-1;-1;-1
"id31";8;22217;3;"main2";"paired";45;"hit";"m8";1;"nonSTEM";"Ja";"m";FALSE;1;-1;-1;-1
"id31";8;40886;4;"main2";"paired";45;"hit";"m7";1;"nonSTEM";"Ja";"m";FALSE;1;-1;-1;-1
"id31";8;40886;4;"main2";"paired";135;"hit";"m7";1;"nonSTEM";"Ja";"m";FALSE;1;-1;-1;-1
"id31";8;40886;4;"main2";"paired";135;"hit";"m7";1;"nonSTEM";"Ja";"m";FALSE;1;-1;-1;-1
"id31";8;40886;4;"main2";"paired";45;"hit";"m7";1;"nonSTEM";"Ja";"m";FALSE;1;-1;-1;-1
"id31";8;18835;5;"main2";"paired";45;"hit";"m4";1;"nonSTEM";"Ja";"m";FALSE;1;-1;-1;-1
"id31";2;9183;1;"main1";"paired";135;"hit";"m6";1;"nonSTEM";"Ja";"m";FALSE;1;-1;1;0
"id31";4;14767;2;"main6";"mixed";180;"hit";"m16";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";4;14767;2;"main6";"mixed";90;"hit";"m16";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";4;12030;3;"main6";"mixed";45;"hit";"m7";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";4;12030;3;"main6";"mixed";90;"hit";"m7";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";4;11017;4;"main6";"mixed";135;"hit";"m5";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";4;11017;4;"main6";"mixed";135;"hit";"m5";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";4;6501;5;"main6";"mixed";45;"hit";"m12";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";4;6501;5;"main6";"mixed";135;"hit";"m12";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";4;5418;6;"main6";"mixed";90;"hit";"m13";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";4;5418;6;"main6";"mixed";135;"hit";"m13";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";4;11083;7;"main6";"mixed";90;"hit";"m2";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";4;11083;7;"main6";"mixed";90;"hit";"m2";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";4;6834;8;"main6";"mixed";90;"incorrect";"m6";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";4;6834;8;"main6";"mixed";90;"hit";"m6";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";4;7068;9;"main6";"mixed";90;"hit";"m4";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";4;7068;9;"main6";"mixed";45;"hit";"m4";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";4;12800;10;"main6";"mixed";90;"hit";"m15";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";4;12800;10;"main6";"mixed";180;"incorrect";"m15";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";4;5634;11;"main6";"mixed";135;"hit";"m3";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";4;5634;11;"main6";"mixed";45;"hit";"m3";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";4;16151;12;"main6";"mixed";90;"hit";"m8";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";4;16151;12;"main6";"mixed";180;"hit";"m8";1;"nonSTEM";"Ja";"m";FALSE;1;1;0;1
"id31";8;16884;4;"main3";"mixed";90;"hit";"m7";1;"nonSTEM";"Ja";"m";FALSE;1;1;-1;-1
"id31";8;13318;5;"main3";"mixed";135;"hit";"m4";1;"nonSTEM";"Ja";"m";FALSE;1;1;-1;-1
"id31";8;13318;5;"main3";"mixed";45;"hit";"m4";1;"nonSTEM";"Ja";"m";FALSE;1;1;-1;-1
"id31";8;13318;5;"main3";"mixed";180;"hit";"m4";1;"nonSTEM";"Ja";"m";FALSE;1;1;-1;-1
"id31";8;13318;5;"main3";"mixed";45;"hit";"m4";1;"nonSTEM";"Ja";"m";FALSE;1;1;-1;-1
"id31";8;21884;6;"main3";"mixed";45;"hit";"m14";1;"nonSTEM";"Ja";"m";FALSE;1;1;-1;-1
