"ID";"block";"nStimuli";"reactionTime";"typeOfAlternatives";"deg";"type";"modelNumber";"trialNumber";"overallHits";"STEM";"Experience";"sex";"outlier";"sexContrasts";"typeContrasts";"nStimuliContrasts1";"nStimuliContrasts2";"ExperienceContrasts";"STEMContrasts1";"STEMContrasts2"
"id92";"main4";8;36019;"paired";135;"hit";"m3";0.6;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
"id92";"main2";2;2200;"mixed";90;"hit";"m4";0.826086956521739;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main2";2;3683;"mixed";45;"incorrect";"m14";0.869565217391304;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main2";2;6266;"mixed";45;"hit";"m13";0.91304347826087;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main4";8;36019;"paired";135;"hit";"m3";0.6;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
"id92";"main4";8;17613;"paired";135;"hit";"m14";0.8;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
"id92";"main4";8;17613;"paired";45;"hit";"m14";0.8;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
"id92";"main4";8;17613;"paired";45;"hit";"m14";0.8;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
"id92";"main4";8;16623;"paired";135;"hit";"m5";0.2;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
"id92";"main6";8;13375;"mixed";90;"hit";"m7";0.4;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main6";8;24694;"mixed";45;"hit";"m5";0;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main6";8;24694;"mixed";135;"hit";"m5";0;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main6";8;24694;"mixed";135;"hit";"m5";0;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main6";8;24694;"mixed";90;"hit";"m5";0;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main6";8;10958;"mixed";45;"hit";"m4";0.8;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main6";8;10958;"mixed";135;"incorrect";"m4";0.8;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main6";8;10958;"mixed";45;"hit";"m4";0.8;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main1";2;2716;"paired";45;"hit";"m5";0.695652173913043;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main1";2;5983;"paired";135;"incorrect";"m2";0.739130434782609;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main1";2;6243;"paired";135;"incorrect";"m5";0.0869565217391304;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main1";2;3599;"paired";45;"hit";"m12";0.869565217391304;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main1";2;6767;"paired";45;"incorrect";"m3";0.91304347826087;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main1";2;3752;"paired";45;"hit";"m13";0.956521739130435;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main1";2;5202;"paired";45;"hit";"m8";0.434782608695652;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main1";2;12384;"paired";45;"incorrect";"m13";0.478260869565217;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main6";8;17139;"mixed";90;"hit";"m14";0.6;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main1";2;6916;"paired";45;"hit";"m15";0.521739130434783;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main1";2;7764;"paired";135;"incorrect";"m7";0.565217391304348;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main2";2;3484;"mixed";90;"hit";"m12";0.695652173913043;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main4";8;36019;"paired";45;"hit";"m3";0.6;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
"id92";"main4";8;36019;"paired";45;"hit";"m3";0.6;105;"nonSTEM";"yes";"female";FALSE;-1;-1;-1;-1;1;0;1
"id92";"main6";8;14168;"mixed";90;"hit";"m6";0.2;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main6";8;14168;"mixed";45;"hit";"m6";0.2;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main2";2;4784;"mixed";45;"hit";"m3";0.347826086956522;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main2";2;3717;"mixed";135;"incorrect";"m15";0.217391304347826;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main2";2;3318;"mixed";90;"hit";"m2";0.434782608695652;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main2";2;7667;"mixed";90;"incorrect";"m7";0.478260869565217;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main2";2;6700;"mixed";90;"incorrect";"m7";0.521739130434783;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main2";2;5097;"mixed";135;"hit";"m5";0.391304347826087;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main2";2;4517;"mixed";180;"hit";"m15";0.608695652173913;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main2";2;6868;"mixed";135;"hit";"m2";0.652173913043478;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main1";2;7533;"paired";135;"hit";"m2";0.260869565217391;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main1";2;4018;"paired";45;"incorrect";"m6";0.304347826086957;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main1";2;4283;"paired";135;"hit";"m3";0.347826086956522;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main1";2;4034;"paired";45;"hit";"m14";0;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main1";2;4400;"paired";135;"hit";"m4";0.0434782608695652;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main6";8;14168;"mixed";180;"incorrect";"m6";0.2;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main6";8;13375;"mixed";180;"incorrect";"m7";0.4;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main6";8;13375;"mixed";45;"hit";"m7";0.4;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main6";8;14168;"mixed";90;"hit";"m6";0.2;105;"nonSTEM";"yes";"female";FALSE;-1;1;-1;-1;1;0;1
"id92";"main1";2;5800;"paired";135;"hit";"m15";0.217391304347826;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main1";2;4682;"paired";135;"hit";"m7";0.130434782608696;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main1";2;6867;"paired";45;"incorrect";"m12";0.173913043478261;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main1";2;3924;"paired";45;"hit";"m16";0.391304347826087;105;"nonSTEM";"yes";"female";FALSE;-1;-1;1;0;1;0;1
"id92";"main5";4;11224;"paired";135;"hit";"m8";0.545454545454545;105;"nonSTEM";"yes";"female";FALSE;-1;-1;0;1;1;0;1
"id92";"main5";4;11224;"paired";135;"incorrect";"m8";0.545454545454545;105;"nonSTEM";"yes";"female";FALSE;-1;-1;0;1;1;0;1
"id92";"main2";2;4033;"mixed";90;"hit";"m16";0.739130434782609;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main2";2;4650;"mixed";45;"hit";"m6";0.782608695652174;105;"nonSTEM";"yes";"female";FALSE;-1;1;1;0;1;0;1
"id92";"main5";4;10084;"paired";45;"hit";"m14";0.363636363636364;105;"nonSTEM";"yes";"female";FALSE;-1;-1;0;1;1;0;1
"id92";"main5";4;14762;"paired";45;"incorrect";"m6";1;105;"nonSTEM";"yes";"female";FALSE;-1;-1;0;1;1;0;1
"id92";"main5";4;10401;"paired";135;"hit";"m4";0.454545454545455;105;"nonSTEM";"yes";"female";FALSE;-1;-1;0;1;1;0;1
"id92";"main5";4;10401;"paired";45;"hit";"m4";0.454545454545455;105;"nonSTEM";"yes";"female";FALSE;-1;-1;0;1;1;0;1
"id92";"main5";4;10084;"paired";45;"hit";"m14";0.363636363636364;105;"nonSTEM";"yes";"female";FALSE;-1;-1;0;1;1;0;1
"id174";"main2";8;40886;"paired";135;"hit";"m7";0.6;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main2";8;18835;"paired";135;"hit";"m4";0.8;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main2";8;40886;"paired";45;"hit";"m7";0.6;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main2";8;18835;"paired";45;"hit";"m4";0.8;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main2";8;22217;"paired";45;"hit";"m8";0.4;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main2";8;22217;"paired";45;"hit";"m8";0.4;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main2";8;40886;"paired";45;"hit";"m7";0.6;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main2";8;18835;"paired";135;"hit";"m4";0.8;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main2";8;13633;"paired";135;"hit";"m14";1;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main4";2;6618;"mixed";45;"hit";"m6";0.869565217391304;127;"nonSTEM";"yes";"male";FALSE;1;1;1;0;1;0;1
"id174";"main2";8;13633;"paired";135;"hit";"m14";1;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main3";8;12487;"mixed";45;"hit";"m3";0;127;"nonSTEM";"yes";"male";FALSE;1;1;-1;-1;1;0;1
"id174";"main3";8;12487;"mixed";180;"hit";"m3";0;127;"nonSTEM";"yes";"male";FALSE;1;1;-1;-1;1;0;1
"id174";"main3";8;28037;"mixed";135;"incorrect";"m12";0.2;127;"nonSTEM";"yes";"male";FALSE;1;1;-1;-1;1;0;1
